dátum;nagydíj;helyezés;befejezett_kör;pont;konstruktőr;Célba_ért;körhátrány;Hiba_oka
2016.08.28;Belga Nagydíj;9;44;2;Ferrari;I;0;
2016.09.04;Olasz Nagydíj;4;53;12;Ferrari;I;0;
2016.09.18;Szingapúri Nagydíj;4;61;12;Ferrari;I;0;
2016.10.02;Malajziai Nagydíj;4;56;12;Ferrari;I;0;
2016.10.09;Japán Nagydíj;5;53;10;Ferrari;I;0;
2016.10.23;Egyesült Államok Nagydíja;;38;0;Ferrari;N;;Kerék
2016.10.30;Mexikói Nagydíj;6;71;8;Ferrari;I;0;
2016.11.13;Brazil Nagydíj;;19;0;Ferrari;N;;Ütközés
2016.11.27;Abu-Dzabi Nagydíj;6;55;8;Ferrari;I;0;
2017.03.26;Ausztrál Nagydíj;4;57;12;Ferrari;I;0;
2017.04.09;Kínai Nagydíj;5;56;10;Ferrari;I;0;
2017.04.16;Bahreini Nagydíj;4;57;12;Ferrari;I;0;
2017.04.30;Orosz Nagydíj;3;52;15;Ferrari;I;0;
2017.05.14;Spanyol Nagydíj;;0;0;Ferrari;N;;Ütközés okozta sérülés
2017.05.28;Monacói Nagydíj;2;78;18;Ferrari;I;0;
2017.06.11;Kanadai Nagydíj;7;70;6;Ferrari;I;0;
2017.06.25;Azerbajdzsáni Nagydíj;14;46;0;Ferrari;N;;Víznyomás
2017.07.09;Osztrák Nagydíj;5;71;10;Ferrari;I;0;
2017.07.16;Brit Nagydíj;3;51;15;Ferrari;I;0;
2017.07.30;Magyar Nagydíj;2;70;18;Ferrari;I;0;
2017.08.27;Belga Nagydíj;4;44;12;Ferrari;I;0;
2017.09.03;Olasz Nagydíj;5;53;10;Ferrari;I;0;
2017.09.17;Szingapúri Nagydíj;;0;0;Ferrari;N;;Baleset
2017.10.01;Malajziai Nagydíj;;0;0;Ferrari;N;;Akkumulátor
2017.10.08;Japán Nagydíj;5;53;10;Ferrari;I;0;
2017.10.22;Egyesült Államok Nagydíja;3;56;15;Ferrari;I;0;
2017.10.29;Mexikói Nagydíj;3;71;15;Ferrari;I;0;
2017.11.12;Brazil Nagydíj;3;71;15;Ferrari;I;0;
2017.11.26;Abu-Dzabi Nagydíj;4;55;12;Ferrari;I;0;
2018.03.25;Ausztrál Nagydíj;3;58;15;Ferrari;I;0;
2018.04.08;Bahreini Nagydíj;;35;0;Ferrari;N;;Kerék
2018.04.15;Kínai Nagydíj;3;56;15;Ferrari;I;0;
2018.04.29;Azerbajdzsáni Nagydíj;2;51;18;Ferrari;I;0;
2018.05.13;Spanyol Nagydíj;;25;0;Ferrari;N;;Turbo
2018.05.27;Monacói Nagydíj;4;78;12;Ferrari;I;0;
2018.06.10;Kanadai Nagydíj;6;68;8;Ferrari;I;0;
2018.06.24;Francia Nagydíj;3;53;15;Ferrari;I;0;
2018.07.01;Osztrák Nagydíj;2;71;18;Ferrari;I;0;
2018.07.08;Brit Nagydíj;3;52;15;Ferrari;I;0;
2018.07.22;Német Nagydíj;3;67;15;Ferrari;I;0;
2018.07.29;Magyar Nagydíj;3;70;15;Ferrari;I;0;
2018.08.26;Belga Nagydíj;;8;0;Ferrari;N;;Fékek
2018.09.02;Olasz Nagydíj;2;53;18;Ferrari;I;0;
2018.09.16;Szingapúri Nagydíj;5;61;10;Ferrari;I;0;
2018.09.30;Orosz Nagydíj;4;53;12;Ferrari;I;0;
2018.10.07;Japán Nagydíj;5;53;10;Ferrari;I;0;
2018.10.21;Egyesült Államok Nagydíja;1;56;25;Ferrari;I;0;
2018.10.28;Mexikói Nagydíj;3;71;15;Ferrari;I;0;
2018.11.11;Brazil Nagydíj;3;71;15;Ferrari;I;0;
